Audiogram ID,Latin name,Source long,Source short,DOI,Measurements,sex,Name of the animal,Life stage,Age min in months,Age max in months,Status of liberty,Duration in captivity in months,Name of the Facility,Latitude,Longitude,Position of the animal,Distance to sound source in m,Test environment,Medium,Method,Position of the 1st electrode,Position of the 2nd electrode,Position of the 3rd electrode,Year of experiment start,Year of experiment end,Calibration,Threshold determination info in percent,Duration of test tone,Form of the tone,Staircase procedure,Method of constants,Form of the sound,Sedated,Sedation details,Frequency in kHz,SPL,SPL reference
"152","Phoca vitulina","Cunningham, K. A., Southall, B. L., & Reichmuth, C. (2014). Auditory sensitivity of seals and sea lions in complex listening scenarios. The Journal of the Acoustical Society of America, 136(6), 3410Ã¢Â€Â“3421. doi:10.1121/1.4900568","Cunningham, Southall & Reichmuth, 2014","10.1121/1.4900568","None","male","Sprouts (NOA0001707)","adult","None","None","captive","None","Long Marine Laboratory, USA","36.9503","-122.065","totally underwater","None","Tests were conducted in an outdoor, semi inground, circular, concrete test pool (7.6m diameter, 1.8m depth) filled with natural seawater ranging in temperature from 10 C-16 C.","water","behavioral: go - no go & touching a target","None","None","None","2013","2013","Prior to each experimental session, projected signals were calibrated using HTP software and the ambient noise in the test environment was measured using a B&K 2250 (BrÃ¼el & Kjaer A/S, Naerum, Denmark) sound-level meter connected to the Reson TC4032. In the calibration process, received signal SPLs were calculated within specific frequency bands, the limits of which changed depending on the signal. Received levels were measured within the full signal band limits, i.e., across a band encompassing all spectral energy of the particular signal. The frequency range of calibration was taken into account when calculating threshold predictions (as described below).","50.00","None","sinusoidal frequency modulated tone (FM)","yes","unknown","None","no","None","0.5","70.00","re 1 μPa"
"152","Phoca vitulina","Cunningham, K. A., Southall, B. L., & Reichmuth, C. (2014). Auditory sensitivity of seals and sea lions in complex listening scenarios. The Journal of the Acoustical Society of America, 136(6), 3410Ã¢Â€Â“3421. doi:10.1121/1.4900568","Cunningham, Southall & Reichmuth, 2014","10.1121/1.4900568","None","male","Sprouts (NOA0001707)","adult","None","None","captive","None","Long Marine Laboratory, USA","36.9503","-122.065","totally underwater","None","Tests were conducted in an outdoor, semi inground, circular, concrete test pool (7.6m diameter, 1.8m depth) filled with natural seawater ranging in temperature from 10 C-16 C.","water","behavioral: go - no go & touching a target","None","None","None","2013","2013","Prior to each experimental session, projected signals were calibrated using HTP software and the ambient noise in the test environment was measured using a B&K 2250 (BrÃ¼el & Kjaer A/S, Naerum, Denmark) sound-level meter connected to the Reson TC4032. In the calibration process, received signal SPLs were calculated within specific frequency bands, the limits of which changed depending on the signal. Received levels were measured within the full signal band limits, i.e., across a band encompassing all spectral energy of the particular signal. The frequency range of calibration was taken into account when calculating threshold predictions (as described below).","50.00","None","sinusoidal frequency modulated tone (FM)","yes","unknown","None","no","None","2.0","62.00","re 1 μPa"
"152","Phoca vitulina","Cunningham, K. A., Southall, B. L., & Reichmuth, C. (2014). Auditory sensitivity of seals and sea lions in complex listening scenarios. The Journal of the Acoustical Society of America, 136(6), 3410Ã¢Â€Â“3421. doi:10.1121/1.4900568","Cunningham, Southall & Reichmuth, 2014","10.1121/1.4900568","None","male","Sprouts (NOA0001707)","adult","None","None","captive","None","Long Marine Laboratory, USA","36.9503","-122.065","totally underwater","None","Tests were conducted in an outdoor, semi inground, circular, concrete test pool (7.6m diameter, 1.8m depth) filled with natural seawater ranging in temperature from 10 C-16 C.","water","behavioral: go - no go & touching a target","None","None","None","2013","2013","Prior to each experimental session, projected signals were calibrated using HTP software and the ambient noise in the test environment was measured using a B&K 2250 (BrÃ¼el & Kjaer A/S, Naerum, Denmark) sound-level meter connected to the Reson TC4032. In the calibration process, received signal SPLs were calculated within specific frequency bands, the limits of which changed depending on the signal. Received levels were measured within the full signal band limits, i.e., across a band encompassing all spectral energy of the particular signal. The frequency range of calibration was taken into account when calculating threshold predictions (as described below).","50.00","None","sinusoidal frequency modulated tone (FM)","yes","unknown","None","no","None","16.0","58.00","re 1 μPa"
"152","Phoca vitulina","Cunningham, K. A., Southall, B. L., & Reichmuth, C. (2014). Auditory sensitivity of seals and sea lions in complex listening scenarios. The Journal of the Acoustical Society of America, 136(6), 3410Ã¢Â€Â“3421. doi:10.1121/1.4900568","Cunningham, Southall & Reichmuth, 2014","10.1121/1.4900568","None","male","Sprouts (NOA0001707)","adult","None","None","captive","None","Long Marine Laboratory, USA","36.9503","-122.065","totally underwater","None","Tests were conducted in an outdoor, semi inground, circular, concrete test pool (7.6m diameter, 1.8m depth) filled with natural seawater ranging in temperature from 10 C-16 C.","water","behavioral: go - no go & touching a target","None","None","None","2013","2013","Prior to each experimental session, projected signals were calibrated using HTP software and the ambient noise in the test environment was measured using a B&K 2250 (BrÃ¼el & Kjaer A/S, Naerum, Denmark) sound-level meter connected to the Reson TC4032. In the calibration process, received signal SPLs were calculated within specific frequency bands, the limits of which changed depending on the signal. Received levels were measured within the full signal band limits, i.e., across a band encompassing all spectral energy of the particular signal. The frequency range of calibration was taken into account when calculating threshold predictions (as described below).","50.00","None","sinusoidal frequency modulated tone (FM)","yes","unknown","None","no","None","38.0","70.00","re 1 μPa"
"154","Phoca vitulina","Cunningham, K. A., Southall, B. L., & Reichmuth, C. (2014). Auditory sensitivity of seals and sea lions in complex listening scenarios. The Journal of the Acoustical Society of America, 136(6), 3410Ã¢Â€Â“3421. doi:10.1121/1.4900568","Cunningham, Southall & Reichmuth, 2014","10.1121/1.4900568","None","male","Sprouts (NOA0001707)","adult","None","None","captive","None","Long Marine Laboratory, USA","36.9503","-122.065","totally underwater","None","Tests were conducted in an outdoor, semi inground, circular, concrete test pool (7.6m diameter, 1.8m depth) filled with natural seawater ranging in temperature from 10 C-16 C.","water","behavioral: go - no go & touching a target","None","None","None","2013","2013","Prior to each experimental session, projected signals were calibrated using HTP software and the ambient noise in the test environment was measured using a B&K 2250 (BrÃ¼el & Kjaer A/S, Naerum, Denmark) sound-level meter connected to the Reson TC4032. In the calibration process, received signal SPLs were calculated within specific frequency bands, the limits of which changed depending on the signal. Received levels were measured within the full signal band limits, i.e., across a band encompassing all spectral energy of the particular signal. The frequency range of calibration was taken into account when calculating threshold predictions (as described below).","50.00","None","sinusoidal amplitude modulated tone (SAM)","yes","unknown","None","no","None","0.5","65.00","re 1 μPa"
"154","Phoca vitulina","Cunningham, K. A., Southall, B. L., & Reichmuth, C. (2014). Auditory sensitivity of seals and sea lions in complex listening scenarios. The Journal of the Acoustical Society of America, 136(6), 3410Ã¢Â€Â“3421. doi:10.1121/1.4900568","Cunningham, Southall & Reichmuth, 2014","10.1121/1.4900568","None","male","Sprouts (NOA0001707)","adult","None","None","captive","None","Long Marine Laboratory, USA","36.9503","-122.065","totally underwater","None","Tests were conducted in an outdoor, semi inground, circular, concrete test pool (7.6m diameter, 1.8m depth) filled with natural seawater ranging in temperature from 10 C-16 C.","water","behavioral: go - no go & touching a target","None","None","None","2013","2013","Prior to each experimental session, projected signals were calibrated using HTP software and the ambient noise in the test environment was measured using a B&K 2250 (BrÃ¼el & Kjaer A/S, Naerum, Denmark) sound-level meter connected to the Reson TC4032. In the calibration process, received signal SPLs were calculated within specific frequency bands, the limits of which changed depending on the signal. Received levels were measured within the full signal band limits, i.e., across a band encompassing all spectral energy of the particular signal. The frequency range of calibration was taken into account when calculating threshold predictions (as described below).","50.00","None","sinusoidal amplitude modulated tone (SAM)","yes","unknown","None","no","None","2.0","63.00","re 1 μPa"
"154","Phoca vitulina","Cunningham, K. A., Southall, B. L., & Reichmuth, C. (2014). Auditory sensitivity of seals and sea lions in complex listening scenarios. The Journal of the Acoustical Society of America, 136(6), 3410Ã¢Â€Â“3421. doi:10.1121/1.4900568","Cunningham, Southall & Reichmuth, 2014","10.1121/1.4900568","None","male","Sprouts (NOA0001707)","adult","None","None","captive","None","Long Marine Laboratory, USA","36.9503","-122.065","totally underwater","None","Tests were conducted in an outdoor, semi inground, circular, concrete test pool (7.6m diameter, 1.8m depth) filled with natural seawater ranging in temperature from 10 C-16 C.","water","behavioral: go - no go & touching a target","None","None","None","2013","2013","Prior to each experimental session, projected signals were calibrated using HTP software and the ambient noise in the test environment was measured using a B&K 2250 (BrÃ¼el & Kjaer A/S, Naerum, Denmark) sound-level meter connected to the Reson TC4032. In the calibration process, received signal SPLs were calculated within specific frequency bands, the limits of which changed depending on the signal. Received levels were measured within the full signal band limits, i.e., across a band encompassing all spectral energy of the particular signal. The frequency range of calibration was taken into account when calculating threshold predictions (as described below).","50.00","None","sinusoidal amplitude modulated tone (SAM)","yes","unknown","None","no","None","16.0","65.00","re 1 μPa"
"154","Phoca vitulina","Cunningham, K. A., Southall, B. L., & Reichmuth, C. (2014). Auditory sensitivity of seals and sea lions in complex listening scenarios. The Journal of the Acoustical Society of America, 136(6), 3410Ã¢Â€Â“3421. doi:10.1121/1.4900568","Cunningham, Southall & Reichmuth, 2014","10.1121/1.4900568","None","male","Sprouts (NOA0001707)","adult","None","None","captive","None","Long Marine Laboratory, USA","36.9503","-122.065","totally underwater","None","Tests were conducted in an outdoor, semi inground, circular, concrete test pool (7.6m diameter, 1.8m depth) filled with natural seawater ranging in temperature from 10 C-16 C.","water","behavioral: go - no go & touching a target","None","None","None","2013","2013","Prior to each experimental session, projected signals were calibrated using HTP software and the ambient noise in the test environment was measured using a B&K 2250 (BrÃ¼el & Kjaer A/S, Naerum, Denmark) sound-level meter connected to the Reson TC4032. In the calibration process, received signal SPLs were calculated within specific frequency bands, the limits of which changed depending on the signal. Received levels were measured within the full signal band limits, i.e., across a band encompassing all spectral energy of the particular signal. The frequency range of calibration was taken into account when calculating threshold predictions (as described below).","50.00","None","sinusoidal amplitude modulated tone (SAM)","yes","unknown","None","no","None","38.0","67.00","re 1 μPa"
"156","Phoca vitulina","Cunningham, K. A., Southall, B. L., & Reichmuth, C. (2014). Auditory sensitivity of seals and sea lions in complex listening scenarios. The Journal of the Acoustical Society of America, 136(6), 3410Ã¢Â€Â“3421. doi:10.1121/1.4900568","Cunningham, Southall & Reichmuth, 2014","10.1121/1.4900568","None","male","Sprouts (NOA0001707)","adult","None","None","captive","None","Long Marine Laboratory, USA","36.9503","-122.065","totally underwater","None","Tests were conducted in an outdoor, semi inground, circular, concrete test pool (7.6m diameter, 1.8m depth) filled with natural seawater ranging in temperature from 10 C-16 C.","water","behavioral: go - no go & touching a target","None","None","None","2013","2013","Prior to each experimental session, projected signals were calibrated using HTP software and the ambient noise in the test environment was measured using a B&K 2250 (BrÃ¼el & Kjaer A/S, Naerum, Denmark) sound-level meter connected to the Reson TC4032. In the calibration process, received signal SPLs were calculated within specific frequency bands, the limits of which changed depending on the signal. Received levels were measured within the full signal band limits, i.e., across a band encompassing all spectral energy of the particular signal. The frequency range of calibration was taken into account when calculating threshold predictions (as described below).","50.00","None","None","yes","unknown","None","no","None","0.5","59.00","re 1 μPa"
"156","Phoca vitulina","Cunningham, K. A., Southall, B. L., & Reichmuth, C. (2014). Auditory sensitivity of seals and sea lions in complex listening scenarios. The Journal of the Acoustical Society of America, 136(6), 3410Ã¢Â€Â“3421. doi:10.1121/1.4900568","Cunningham, Southall & Reichmuth, 2014","10.1121/1.4900568","None","male","Sprouts (NOA0001707)","adult","None","None","captive","None","Long Marine Laboratory, USA","36.9503","-122.065","totally underwater","None","Tests were conducted in an outdoor, semi inground, circular, concrete test pool (7.6m diameter, 1.8m depth) filled with natural seawater ranging in temperature from 10 C-16 C.","water","behavioral: go - no go & touching a target","None","None","None","2013","2013","Prior to each experimental session, projected signals were calibrated using HTP software and the ambient noise in the test environment was measured using a B&K 2250 (BrÃ¼el & Kjaer A/S, Naerum, Denmark) sound-level meter connected to the Reson TC4032. In the calibration process, received signal SPLs were calculated within specific frequency bands, the limits of which changed depending on the signal. Received levels were measured within the full signal band limits, i.e., across a band encompassing all spectral energy of the particular signal. The frequency range of calibration was taken into account when calculating threshold predictions (as described below).","50.00","None","None","yes","unknown","None","no","None","2.0","56.00","re 1 μPa"
